sno,technology,slug,category,category_slug,companies,jobs,url
2881,Azure Ai Vision,azure-ai-vision,Business Intelligence And Analytics,business-intelligence-and-analytics,62,105,https://theirstack.com/en/technology/azure-ai-vision
2882,Azure Analysis Services,azure-analysis-services,Business Intelligence And Analytics,business-intelligence-and-analytics,2.9k,7.4k,https://theirstack.com/en/technology/azure-analysis-services
2883,Azure Api Management,azure-api-management,Programming Languages And Frameworks,programming-languages-and-frameworks,8.9k,25k,https://theirstack.com/en/technology/azure-api-management
2884,Azure App Center,azure-app-center,Programming Languages And Frameworks,programming-languages-and-frameworks,19,34,https://theirstack.com/en/technology/azure-app-center
2885,Azure App Service,azure-app-service,Platform And Storage,platform-and-storage,12k,34k,https://theirstack.com/en/technology/azure-app-service
2886,Azure App Service Plan,azure-app-service-plan,Devops And Development,devops-and-development,9,13,https://theirstack.com/en/technology/azure-app-service-plan
2887,Azure Application Gateway,azure-application-gateway,IT Security,it-security,840,1.6k,https://theirstack.com/en/technology/azure-application-gateway
2888,Azure Application Insights,azure-application-insights,Devops And Development,devops-and-development,6.7k,16k,https://theirstack.com/en/technology/azure-application-insights
2889,Azure Arc,azure-arc,Programming Languages And Frameworks,programming-languages-and-frameworks,28k,101k,https://theirstack.com/en/technology/azure-arc
2890,Azure Artifacts,azure-artifacts,Programming Languages And Frameworks,programming-languages-and-frameworks,503,945,https://theirstack.com/en/technology/azure-artifacts
2891,Azure Bastion,azure-bastion,IT Security,it-security,285,468,https://theirstack.com/en/technology/azure-bastion
2892,Azure Batch,azure-batch,Devops And Development,devops-and-development,545,1.1k,https://theirstack.com/en/technology/azure-batch
2893,Azure Blockchain Workbench,azure-blockchain-workbench,Finance And Accounting,finance-and-accounting,1,1,https://theirstack.com/en/technology/azure-blockchain-workbench
2894,Azure Boards,azure-boards,Devops And Development,devops-and-development,4.4k,12k,https://theirstack.com/en/technology/azure-boards
2895,Azure Bot Service,azure-bot-service,Programming Languages And Frameworks,programming-languages-and-frameworks,412,766,https://theirstack.com/en/technology/azure-bot-service
2896,Azure Cache For Redis,azure-cache-for-redis,Productivity And Operations,productivity-and-operations,305,749,https://theirstack.com/en/technology/azure-cache-for-redis
2897,Azure Cdn,azure-cdn,Devops And Development,devops-and-development,1.4k,3k,https://theirstack.com/en/technology/azure-cdn
2898,Azure Chaos Studio,azure-chaos-studio,Testing And QA,testing-and-qa,62,107,https://theirstack.com/en/technology/azure-chaos-studio
2899,Azure Cloud Shell,azure-cloud-shell,Devops And Development,devops-and-development,105,189,https://theirstack.com/en/technology/azure-cloud-shell
2900,Azure Cognitive Search,azure-cognitive-search,Programming Languages And Frameworks,programming-languages-and-frameworks,1.3k,2.7k,https://theirstack.com/en/technology/azure-cognitive-search
2901,Azure Cognitive Services,azure-cognitive-services,Programming Languages And Frameworks,programming-languages-and-frameworks,3k,7.3k,https://theirstack.com/en/technology/azure-cognitive-services
2902,Azure Communication Services,azure-communication-services,Communications,communications,276,471,https://theirstack.com/en/technology/azure-communication-services
2903,Azure Computer Vision,azure-computer-vision,Programming Languages And Frameworks,programming-languages-and-frameworks,119,231,https://theirstack.com/en/technology/azure-computer-vision
2904,Azure Container Apps,azure-container-apps,Productivity And Operations,productivity-and-operations,1.6k,3.4k,https://theirstack.com/en/technology/azure-container-apps
2905,Azure Container Instances,azure-container-instances,Platform And Storage,platform-and-storage,629,1.4k,https://theirstack.com/en/technology/azure-container-instances
2906,Azure Container Service,azure-container-service,Platform And Storage,platform-and-storage,371,978,https://theirstack.com/en/technology/azure-container-service
2907,Azure Content Delivery Network,azure-content-delivery-network,Productivity And Operations,productivity-and-operations,31,99,https://theirstack.com/en/technology/azure-content-delivery-network
2908,Azure Cosmos Db,azure-cosmos-db,IT Management,it-management,15k,60k,https://theirstack.com/en/technology/azure-cosmos-db
2909,Azure Cost Management,azure-cost-management,Finance And Accounting,finance-and-accounting,1.7k,3k,https://theirstack.com/en/technology/azure-cost-management
2910,Azure Costs,azure-costs,IT Management,it-management,218,363,https://theirstack.com/en/technology/azure-costs
2911,Azure Data Box,azure-data-box,Platform And Storage,platform-and-storage,28,43,https://theirstack.com/en/technology/azure-data-box
2912,Azure Data Explorer,azure-data-explorer,Business Intelligence And Analytics,business-intelligence-and-analytics,1k,3k,https://theirstack.com/en/technology/azure-data-explorer
